     doc_idx|      recall|   precision|      fscore
           0|         0.5|         0.5|         0.5
           1|           0|           0|           0
           2|        0.25|         0.5|0.3333333333
           3|        0.25|         0.5|0.3333333333
           4|           0|           0|           0
           5|           0|           0|           0
           6|         1.0|         1.0|         1.0
           7|0.3333333333|         0.5|         0.4
           8|           0|           0|           0
           9|         1.0|         0.5|0.6666666666
